Homolog.gene.primaryIdentifier,Homolog.gene.organism.shortName,Homolog.ortholog_gene.primaryIdentifier,Homolog.ortholog_gene.organism.shortName,Homolog.relationship
Potri.004G040700,P. trichocarpa,AT5G42260,A. thaliana,many-to-many
Potri.004G040700,P. trichocarpa,AT5G44640,A. thaliana,many-to-many
Potri.004G041600,P. trichocarpa,AT4G17020,A. thaliana,one-to-one
Potri.004G041700,P. trichocarpa,AT4G21720,A. thaliana,one-to-one
Potri.004G041800,P. trichocarpa,AT4G04955,A. thaliana,one-to-one
Potri.004G041900,P. trichocarpa,AT1G65070,A. thaliana,one-to-one
Potri.004G042200,P. trichocarpa,AT4G04950,A. thaliana,many-to-one
Potri.004G042500,P. trichocarpa,AT4G21705,A. thaliana,many-to-one
Potri.004G042800,P. trichocarpa,AT2G33793,A. thaliana,many-to-one
Potri.004G043100,P. trichocarpa,AT4G21610,A. thaliana,one-to-one
Potri.004G043200,P. trichocarpa,AT4G21710,A. thaliana,one-to-one
Potri.004G043400,P. trichocarpa,AT2G33760,A. thaliana,many-to-one
Potri.004G043500,P. trichocarpa,AT2G33770,A. thaliana,many-to-one
Potri.004G043600,P. trichocarpa,AT3G43980,A. thaliana,many-to-many
Potri.004G043600,P. trichocarpa,AT3G44010,A. thaliana,many-to-many
Potri.004G043600,P. trichocarpa,AT4G33865,A. thaliana,many-to-many
Potri.004G043700,P. trichocarpa,AT3G58610,A. thaliana,many-to-one
Potri.004G043900,P. trichocarpa,AT4G04910,A. thaliana,many-to-one
Potri.004G044100,P. trichocarpa,AT1G28240,A. thaliana,many-to-one
Potri.004G044200,P. trichocarpa,AT4G04960,A. thaliana,many-to-one
Potri.004G044300,P. trichocarpa,AT2G20670,A. thaliana,many-to-many
Potri.004G044300,P. trichocarpa,AT4G32480,A. thaliana,many-to-many
Potri.004G044400,P. trichocarpa,AT4G20970,A. thaliana,many-to-one
Potri.004G044500,P. trichocarpa,AT4G20980,A. thaliana,many-to-many
Potri.004G044500,P. trichocarpa,AT5G44320,A. thaliana,many-to-many
Potri.004G044700,P. trichocarpa,AT1G28290,A. thaliana,many-to-many
Potri.004G044700,P. trichocarpa,AT2G33790,A. thaliana,many-to-many
Potri.004G044800,P. trichocarpa,AT1G28280,A. thaliana,many-to-one
Potri.004G044900,P. trichocarpa,AT1G28270,A. thaliana,many-to-many
Potri.004G044900,P. trichocarpa,AT2G33775,A. thaliana,many-to-many
Potri.004G045000,P. trichocarpa,AT1G28270,A. thaliana,many-to-many
Potri.004G045000,P. trichocarpa,AT2G33775,A. thaliana,many-to-many
Potri.004G045300,P. trichocarpa,AT1G28260,A. thaliana,many-to-one
Potri.004G045400,P. trichocarpa,AT1G28250,A. thaliana,one-to-one
Potri.004G045700,P. trichocarpa,AT2G33800,A. thaliana,many-to-one
Potri.004G045800,P. trichocarpa,AT1G28300,A. thaliana,many-to-one
Potri.004G046000,P. trichocarpa,AT4G21020,A. thaliana,many-to-many
Potri.004G046000,P. trichocarpa,AT5G44310,A. thaliana,many-to-many
Potri.004G046300,P. trichocarpa,AT3G47620,A. thaliana,many-to-one
Potri.004G046600,P. trichocarpa,AT1G28310,A. thaliana,many-to-one
Potri.004G046700,P. trichocarpa,AT2G33810,A. thaliana,many-to-one
Potri.004G046800,P. trichocarpa,AT2G33820,A. thaliana,many-to-one
Potri.004G046900,P. trichocarpa,AT1G28320,A. thaliana,many-to-one
Potri.004G047000,P. trichocarpa,AT5G44280,A. thaliana,many-to-one
Potri.004G047100,P. trichocarpa,AT1G28330,A. thaliana,one-to-one
Potri.004G047300,P. trichocarpa,AT1G28340,A. thaliana,many-to-one
Potri.004G047500,P. trichocarpa,AT1G28360,A. thaliana,many-to-one
Potri.004G047600,P. trichocarpa,AT1G28370,A. thaliana,many-to-one
Potri.004G047700,P. trichocarpa,AT1G28380,A. thaliana,many-to-one
Potri.004G048100,P. trichocarpa,AT1G28395,A. thaliana,many-to-many
Potri.004G048100,P. trichocarpa,AT2G33847,A. thaliana,many-to-many
Potri.004G048300,P. trichocarpa,AT2G33850,A. thaliana,many-to-one
Potri.004G048400,P. trichocarpa,AT2G33855,A. thaliana,one-to-one
Potri.004G048500,P. trichocarpa,AT1G28410,A. thaliana,one-to-one
Potri.004G048700,P. trichocarpa,AT1G28420,A. thaliana,many-to-one
Potri.004G048900,P. trichocarpa,AT5G46110,A. thaliana,many-to-one
Potri.004G049000,P. trichocarpa,AT4G18425,A. thaliana,many-to-many
Potri.004G049000,P. trichocarpa,AT5G46090,A. thaliana,many-to-many
Potri.004G049100,P. trichocarpa,AT1G28440,A. thaliana,many-to-one
Potri.004G049200,P. trichocarpa,AT5G46080,A. thaliana,many-to-one
Potri.004G049400,P. trichocarpa,AT5G46070,A. thaliana,many-to-one
Potri.004G049800,P. trichocarpa,AT1G28480,A. thaliana,many-to-one
Potri.004G050200,P. trichocarpa,AT2G33860,A. thaliana,many-to-one
Potri.004G050800,P. trichocarpa,AT1G28490,A. thaliana,many-to-one
Potri.004G050900,P. trichocarpa,AT1G28520,A. thaliana,many-to-one
Potri.004G051000,P. trichocarpa,AT1G28530,A. thaliana,one-to-one
Potri.004G051100,P. trichocarpa,AT5G46020,A. thaliana,many-to-one
Potri.004G051300,P. trichocarpa,AT1G28540,A. thaliana,one-to-one
Potri.004G051600,P. trichocarpa,AT2G33880,A. thaliana,many-to-one
Potri.004G051800,P. trichocarpa,AT4G18450,A. thaliana,many-to-one
Potri.004G051900,P. trichocarpa,AT5G45950,A. thaliana,one-to-one
Potri.004G052100,P. trichocarpa,AT2G34060,A. thaliana,many-to-one
Potri.004G052200,P. trichocarpa,AT2G34050,A. thaliana,one-to-one
Potri.004G052300,P. trichocarpa,AT1G29030,A. thaliana,many-to-many
Potri.004G052300,P. trichocarpa,AT2G34040,A. thaliana,many-to-many
Potri.004G052700,P. trichocarpa,AT4G18465,A. thaliana,one-to-one
Potri.004G052900,P. trichocarpa,AT1G29010,A. thaliana,one-to-many
Potri.004G052900,P. trichocarpa,AT2G34010,A. thaliana,one-to-many
Potri.004G053000,P. trichocarpa,AT2G33990,A. thaliana,many-to-one
Potri.004G053100,P. trichocarpa,AT1G28960,A. thaliana,many-to-one
Potri.004G053400,P. trichocarpa,AT4G18480,A. thaliana,many-to-many
Potri.004G053400,P. trichocarpa,AT5G45930,A. thaliana,many-to-many
Potri.004G053500,P. trichocarpa,AT1G28680,A. thaliana,one-to-one
Potri.004G053800,P. trichocarpa,AT5G45920,A. thaliana,many-to-one
Potri.004G054000,P. trichocarpa,AT1G28690,A. thaliana,one-to-one
Potri.004G054300,P. trichocarpa,AT1G28570,A. thaliana,many-to-many
Potri.004G054300,P. trichocarpa,AT1G28580,A. thaliana,many-to-many
Potri.004G054300,P. trichocarpa,AT1G28590,A. thaliana,many-to-many
Potri.004G054300,P. trichocarpa,AT1G28600,A. thaliana,many-to-many
Potri.004G054300,P. trichocarpa,AT1G28610,A. thaliana,many-to-many
Potri.004G054300,P. trichocarpa,AT1G28640,A. thaliana,many-to-many
Potri.004G054300,P. trichocarpa,AT1G28650,A. thaliana,many-to-many
Potri.004G054300,P. trichocarpa,AT1G28660,A. thaliana,many-to-many
Potri.004G054300,P. trichocarpa,AT1G28670,A. thaliana,many-to-many
Potri.004G054300,P. trichocarpa,AT1G31550,A. thaliana,many-to-many
Potri.004G054300,P. trichocarpa,AT2G27360,A. thaliana,many-to-many
Potri.004G054400,P. trichocarpa,AT5G45910,A. thaliana,many-to-one
Potri.004G054500,P. trichocarpa,AT4G18540,A. thaliana,many-to-one
Potri.004G054800,P. trichocarpa,AT4G18550,A. thaliana,many-to-one
Potri.004G054900,P. trichocarpa,AT4G18570,A. thaliana,many-to-one
Potri.004G055000,P. trichocarpa,AT1G29050,A. thaliana,many-to-many
Potri.004G055000,P. trichocarpa,AT2G34070,A. thaliana,many-to-many
Potri.004G055200,P. trichocarpa,AT2G22330,A. thaliana,many-to-many
Potri.004G055200,P. trichocarpa,AT4G39950,A. thaliana,many-to-many
Potri.004G055500,P. trichocarpa,AT2G27430,A. thaliana,many-to-one
Potri.004G055600,P. trichocarpa,AT5G45900,A. thaliana,one-to-one
Potri.004G055900,P. trichocarpa,AT5G45890,A. thaliana,many-to-one
Potri.004G056000,P. trichocarpa,AT5G45890,A. thaliana,many-to-one
Potri.004G056100,P. trichocarpa,AT5G45890,A. thaliana,many-to-one
Potri.004G056200,P. trichocarpa,AT5G45890,A. thaliana,many-to-one
Potri.004G056300,P. trichocarpa,AT5G45890,A. thaliana,many-to-one
Potri.004G056500,P. trichocarpa,AT5G45890,A. thaliana,many-to-one
Potri.004G056600,P. trichocarpa,AT4G18593,A. thaliana,one-to-one
Potri.004G056900,P. trichocarpa,AT1G29160,A. thaliana,many-to-many
Potri.004G056900,P. trichocarpa,AT2G34140,A. thaliana,many-to-many
Potri.004G057000,P. trichocarpa,AT2G37600,A. thaliana,many-to-many
Potri.004G057000,P. trichocarpa,AT3G53740,A. thaliana,many-to-many
Potri.004G057000,P. trichocarpa,AT5G02450,A. thaliana,many-to-many
Potri.004G057100,P. trichocarpa,AT1G29170,A. thaliana,many-to-one
Potri.004G057500,P. trichocarpa,AT1G29195,A. thaliana,many-to-one
Potri.004G057600,P. trichocarpa,AT1G29260,A. thaliana,one-to-one
Potri.004G057800,P. trichocarpa,AT1G29240,A. thaliana,many-to-many
Potri.004G057800,P. trichocarpa,AT2G34170,A. thaliana,many-to-many
Potri.004G058000,P. trichocarpa,AT2G42670,A. thaliana,many-to-many
Potri.004G058000,P. trichocarpa,AT3G58670,A. thaliana,many-to-many
Potri.004G058100,P. trichocarpa,AT4G18640,A. thaliana,many-to-many
Potri.004G058100,P. trichocarpa,AT5G45840,A. thaliana,many-to-many
Potri.004G058200,P. trichocarpa,AT4G18650,A. thaliana,one-to-one
Potri.004G058300,P. trichocarpa,AT4G18700,A. thaliana,many-to-one
Potri.004G058400,P. trichocarpa,AT1G73177,A. thaliana,many-to-one
Potri.004G058500,P. trichocarpa,AT5G45800,A. thaliana,many-to-one
Potri.004G058700,P. trichocarpa,AT1G29220,A. thaliana,many-to-one
Potri.004G058800,P. trichocarpa,AT2G34190,A. thaliana,many-to-one
Potri.004G058900,P. trichocarpa,AT1G29200,A. thaliana,many-to-one
Potri.004G059000,P. trichocarpa,AT4G18710,A. thaliana,many-to-one
Potri.004G059100,P. trichocarpa,AT5G45780,A. thaliana,many-to-one
Potri.004G059200,P. trichocarpa,AT2G34200,A. thaliana,many-to-one
Potri.004G059300,P. trichocarpa,AT4G18740,A. thaliana,many-to-one
Potri.004G059400,P. trichocarpa,AT4G18750,A. thaliana,one-to-one
Potri.004G059500,P. trichocarpa,AT4G18760,A. thaliana,many-to-one
Potri.004G059600,P. trichocarpa,AT4G18780,A. thaliana,many-to-one
Potri.004G059900,P. trichocarpa,AT2G42760,A. thaliana,many-to-one
Potri.004G060300,P. trichocarpa,AT1G29270,A. thaliana,many-to-one
Potri.004G060400,P. trichocarpa,AT1G29280,A. thaliana,many-to-one
Potri.004G060500,P. trichocarpa,AT4G18800,A. thaliana,many-to-many
Potri.004G060500,P. trichocarpa,AT5G45750,A. thaliana,many-to-many
Potri.004G060800,P. trichocarpa,AT1G29270,A. thaliana,many-to-one
Potri.004G060900,P. trichocarpa,AT1G29280,A. thaliana,many-to-one
Potri.004G061000,P. trichocarpa,AT4G18800,A. thaliana,many-to-many
Potri.004G061000,P. trichocarpa,AT5G45750,A. thaliana,many-to-many
Potri.004G061200,P. trichocarpa,AT4G18810,A. thaliana,one-to-one
Potri.004G061300,P. trichocarpa,AT1G29290,A. thaliana,many-to-one
Potri.004G061500,P. trichocarpa,AT1G06410,A. thaliana,many-to-one
Potri.004G061600,P. trichocarpa,AT1G29300,A. thaliana,many-to-one
Potri.004G061700,P. trichocarpa,AT4G18820,A. thaliana,many-to-one
Potri.004G061800,P. trichocarpa,AT1G29340,A. thaliana,many-to-one
Potri.004G062100,P. trichocarpa,AT4G18830,A. thaliana,one-to-one
Potri.004G062300,P. trichocarpa,AT4G18880,A. thaliana,many-to-one
Potri.004G062400,P. trichocarpa,AT1G78700,A. thaliana,many-to-one
Potri.004G062500,P. trichocarpa,AT1G29800,A. thaliana,many-to-one
Potri.004G062600,P. trichocarpa,AT5G23535,A. thaliana,one-to-one
Potri.004G062900,P. trichocarpa,AT5G45700,A. thaliana,many-to-one
Potri.004G063000,P. trichocarpa,AT4G18910,A. thaliana,many-to-many
Potri.004G063000,P. trichocarpa,AT4G19030,A. thaliana,many-to-many
Potri.004G063300,P. trichocarpa,AT2G34480,A. thaliana,many-to-one
Potri.004G063400,P. trichocarpa,AT2G34480,A. thaliana,many-to-one
Potri.004G063500,P. trichocarpa,AT1G29750,A. thaliana,one-to-one
Potri.004G064000,P. trichocarpa,AT1G29690,A. thaliana,many-to-one
Potri.004G064300,P. trichocarpa,AT4G18960,A. thaliana,many-to-one
Potri.004G064400,P. trichocarpa,AT4G18950,A. thaliana,one-to-one
Potri.004G064500,P. trichocarpa,AT4G18970,A. thaliana,many-to-many
Potri.004G064500,P. trichocarpa,AT5G45670,A. thaliana,many-to-many
Potri.004G064700,P. trichocarpa,AT5G46230,A. thaliana,one-to-one
Potri.004G064800,P. trichocarpa,AT2G34530,A. thaliana,one-to-one
Potri.004G064900,P. trichocarpa,AT2G34540,A. thaliana,one-to-one
Potri.004G065000,P. trichocarpa,AT1G30040,A. thaliana,many-to-many
Potri.004G065000,P. trichocarpa,AT2G34555,A. thaliana,many-to-many
Potri.004G065100,P. trichocarpa,AT2G34560,A. thaliana,many-to-one
Potri.004G065300,P. trichocarpa,AT1G30190,A. thaliana,many-to-many
Potri.004G065300,P. trichocarpa,AT2G34610,A. thaliana,many-to-many
Potri.004G065400,P. trichocarpa,AT5G46330,A. thaliana,one-to-one
Potri.004G065800,P. trichocarpa,AT4G18390,A. thaliana,many-to-one
Potri.004G065900,P. trichocarpa,AT4G18380,A. thaliana,many-to-many
Potri.004G065900,P. trichocarpa,AT5G46170,A. thaliana,many-to-many
Potri.004G066000,P. trichocarpa,AT3G27430,A. thaliana,many-to-many
Potri.004G066000,P. trichocarpa,AT5G40580,A. thaliana,many-to-many
Potri.004G066100,P. trichocarpa,AT4G18375,A. thaliana,many-to-many
Potri.004G066100,P. trichocarpa,AT5G46190,A. thaliana,many-to-many
Potri.004G066200,P. trichocarpa,AT1G16220,A. thaliana,many-to-many
Potri.004G066200,P. trichocarpa,AT1G79630,A. thaliana,many-to-many
Potri.004G066600,P. trichocarpa,AT1G13800,A. thaliana,one-to-many
Potri.004G066600,P. trichocarpa,AT2G26790,A. thaliana,one-to-many
Potri.004G066700,P. trichocarpa,AT1G73350,A. thaliana,one-to-one
Potri.004G066900,P. trichocarpa,AT1G28150,A. thaliana,one-to-one
Potri.004G067000,P. trichocarpa,AT5G24760,A. thaliana,one-to-one
Potri.004G067100,P. trichocarpa,AT1G54540,A. thaliana,many-to-one
Potri.004G067200,P. trichocarpa,AT1G73380,A. thaliana,one-to-one
Potri.004G067300,P. trichocarpa,AT3G05070,A. thaliana,one-to-one
Potri.004G067400,P. trichocarpa,AT1G17940,A. thaliana,one-to-many
Potri.004G067400,P. trichocarpa,AT1G73390,A. thaliana,one-to-many
Potri.004G067600,P. trichocarpa,AT1G17860,A. thaliana,many-to-one
Potri.004G067900,P. trichocarpa,AT1G17860,A. thaliana,many-to-one
Potri.004G068400,P. trichocarpa,AT2G25720,A. thaliana,one-to-one
Potri.004G068500,P. trichocarpa,AT3G01350,A. thaliana,many-to-many
Potri.004G068500,P. trichocarpa,AT5G14940,A. thaliana,many-to-many
Potri.004G069200,P. trichocarpa,AT1G48370,A. thaliana,many-to-many
Potri.004G069200,P. trichocarpa,AT3G17650,A. thaliana,many-to-many
Potri.004G069300,P. trichocarpa,AT1G48370,A. thaliana,many-to-many
Potri.004G069300,P. trichocarpa,AT3G17650,A. thaliana,many-to-many
Potri.004G069400,P. trichocarpa,AT1G48380,A. thaliana,one-to-one
Potri.004G069600,P. trichocarpa,AT3G16520,A. thaliana,many-to-one
Potri.004G069800,P. trichocarpa,AT3G16520,A. thaliana,many-to-one
Potri.004G069900,P. trichocarpa,AT3G16520,A. thaliana,many-to-one
Potri.004G070000,P. trichocarpa,AT3G16520,A. thaliana,many-to-one
Potri.004G070200,P. trichocarpa,AT4G11260,A. thaliana,many-to-many
Potri.004G070200,P. trichocarpa,AT4G23570,A. thaliana,many-to-many
Potri.004G070800,P. trichocarpa,AT3G16520,A. thaliana,many-to-one
Potri.004G070900,P. trichocarpa,AT3G16520,A. thaliana,many-to-one
Potri.004G071000,P. trichocarpa,AT3G16520,A. thaliana,many-to-one
Potri.004G071100,P. trichocarpa,AT4G11260,A. thaliana,many-to-many
Potri.004G071100,P. trichocarpa,AT4G23570,A. thaliana,many-to-many
Potri.004G071800,P. trichocarpa,AT5G52850,A. thaliana,one-to-one
Potri.004G071900,P. trichocarpa,AT5G52840,A. thaliana,many-to-one
Potri.004G072000,P. trichocarpa,AT5G52830,A. thaliana,many-to-one
Potri.004G072100,P. trichocarpa,AT5G62650,A. thaliana,many-to-one
Potri.004G072200,P. trichocarpa,AT1G79940,A. thaliana,many-to-one
Potri.004G072400,P. trichocarpa,AT3G49140,A. thaliana,many-to-many
Potri.004G072400,P. trichocarpa,AT5G24060,A. thaliana,many-to-many
Potri.004G072500,P. trichocarpa,AT5G52810,A. thaliana,one-to-one
Potri.004G072800,P. trichocarpa,AT1G66650,A. thaliana,many-to-many
Potri.004G072800,P. trichocarpa,AT1G66660,A. thaliana,many-to-many
Potri.004G072800,P. trichocarpa,AT5G37930,A. thaliana,many-to-many
Potri.004G072900,P. trichocarpa,AT5G52780,A. thaliana,one-to-one
Potri.004G073300,P. trichocarpa,AT5G52660,A. thaliana,many-to-one
Potri.004G073500,P. trichocarpa,AT4G25740,A. thaliana,many-to-many
Potri.004G073500,P. trichocarpa,AT5G52650,A. thaliana,many-to-many
Potri.004G073600,P. trichocarpa,AT5G52640,A. thaliana,many-to-one
Potri.004G073700,P. trichocarpa,AT4G25720,A. thaliana,many-to-one
Potri.004G073900,P. trichocarpa,AT2G23900,A. thaliana,many-to-many
Potri.004G073900,P. trichocarpa,AT3G48950,A. thaliana,many-to-many
Potri.004G074000,P. trichocarpa,AT4G25700,A. thaliana,many-to-many
Potri.004G074000,P. trichocarpa,AT5G52570,A. thaliana,many-to-many
Potri.004G074100,P. trichocarpa,AT2G32230,A. thaliana,many-to-one
Potri.004G074300,P. trichocarpa,AT5G17300,A. thaliana,many-to-one
Potri.004G074400,P. trichocarpa,AT3G03250,A. thaliana,many-to-many
Potri.004G074400,P. trichocarpa,AT5G17310,A. thaliana,many-to-many
Potri.004G074900,P. trichocarpa,AT1G65930,A. thaliana,many-to-one
Potri.004G075100,P. trichocarpa,AT1G65950,A. thaliana,one-to-one
Potri.004G075200,P. trichocarpa,AT5G17330,A. thaliana,many-to-one
Potri.004G075300,P. trichocarpa,AT5G17330,A. thaliana,many-to-one
Potri.004G075400,P. trichocarpa,AT3G03270,A. thaliana,many-to-one
Potri.004G075500,P. trichocarpa,AT5G37310,A. thaliana,many-to-one
Potri.004G075600,P. trichocarpa,AT5G22480,A. thaliana,one-to-many
Potri.004G075600,P. trichocarpa,AT5G37340,A. thaliana,one-to-many
Potri.004G075700,P. trichocarpa,AT5G37370,A. thaliana,many-to-one
Potri.004G075800,P. trichocarpa,AT1G65840,A. thaliana,many-to-one
Potri.004G076000,P. trichocarpa,AT3G02720,A. thaliana,many-to-one
Potri.004G076200,P. trichocarpa,AT3G02720,A. thaliana,many-to-one
Potri.004G076600,P. trichocarpa,AT3G02710,A. thaliana,one-to-one
Potri.004G076800,P. trichocarpa,AT5G04010,A. thaliana,many-to-one
Potri.004G077100,P. trichocarpa,AT1G65810,A. thaliana,many-to-one
Potri.004G077300,P. trichocarpa,AT5G04010,A. thaliana,many-to-one
Potri.004G077400,P. trichocarpa,AT5G02520,A. thaliana,one-to-one
Potri.004G077500,P. trichocarpa,AT1G65810,A. thaliana,many-to-one
Potri.004G077600,P. trichocarpa,AT1G65810,A. thaliana,many-to-one
Potri.004G077700,P. trichocarpa,AT1G65810,A. thaliana,many-to-one
Potri.004G077800,P. trichocarpa,AT1G65810,A. thaliana,many-to-one
Potri.004G077900,P. trichocarpa,AT5G04010,A. thaliana,many-to-one
Potri.004G078000,P. trichocarpa,AT1G02780,A. thaliana,many-to-many
Potri.004G078000,P. trichocarpa,AT4G02230,A. thaliana,many-to-many
Potri.004G078100,P. trichocarpa,AT1G65820,A. thaliana,many-to-one
Potri.004G078200,P. trichocarpa,AT5G37020,A. thaliana,many-to-one
Potri.004G078500,P. trichocarpa,AT1G65720,A. thaliana,many-to-one
Potri.004G078700,P. trichocarpa,AT3G02700,A. thaliana,many-to-one
Potri.004G078800,P. trichocarpa,AT5G52510,A. thaliana,many-to-one
Potri.004G079000,P. trichocarpa,AT5G52530,A. thaliana,many-to-one
Potri.004G079200,P. trichocarpa,AT5G23980,A. thaliana,many-to-many
Potri.004G079200,P. trichocarpa,AT5G23990,A. thaliana,many-to-many
Potri.004G079300,P. trichocarpa,AT5G52540,A. thaliana,one-to-one
Potri.004G079700,P. trichocarpa,AT5G24010,A. thaliana,many-to-one
Potri.004G079800,P. trichocarpa,AT4G25660,A. thaliana,many-to-many
Potri.004G079800,P. trichocarpa,AT4G25680,A. thaliana,many-to-many
Potri.004G079900,P. trichocarpa,AT4G25670,A. thaliana,many-to-many
Potri.004G079900,P. trichocarpa,AT4G25690,A. thaliana,many-to-many
Potri.004G080000,P. trichocarpa,AT4G25672,A. thaliana,many-to-many
Potri.004G080000,P. trichocarpa,AT5G52552,A. thaliana,many-to-many
Potri.004G080100,P. trichocarpa,AT5G24020,A. thaliana,one-to-one
Potri.004G080200,P. trichocarpa,AT3G03220,A. thaliana,many-to-one
Potri.004G080600,P. trichocarpa,AT3G03210,A. thaliana,many-to-one
Potri.004G080800,P. trichocarpa,AT5G17270,A. thaliana,one-to-many
Potri.004G080800,P. trichocarpa,AT5G37130,A. thaliana,one-to-many
Potri.004G080900,P. trichocarpa,AT1G65920,A. thaliana,many-to-one
Potri.004G081000,P. trichocarpa,AT1G65910,A. thaliana,many-to-one
Potri.004G081200,P. trichocarpa,AT1G06590,A. thaliana,one-to-one
Potri.004G081300,P. trichocarpa,AT5G37180,A. thaliana,many-to-one
Potri.004G081400,P. trichocarpa,AT5G17240,A. thaliana,one-to-one
Potri.004G081700,P. trichocarpa,AT1G27190,A. thaliana,many-to-many
Potri.004G081700,P. trichocarpa,AT1G69990,A. thaliana,many-to-many
Potri.004G081800,P. trichocarpa,AT3G54230,A. thaliana,many-to-one
Potri.004G082000,P. trichocarpa,AT1G65880,A. thaliana,many-to-many
Potri.004G082000,P. trichocarpa,AT1G65890,A. thaliana,many-to-many
Potri.004G082000,P. trichocarpa,AT1G66120,A. thaliana,many-to-many
Potri.004G082000,P. trichocarpa,AT1G68270,A. thaliana,many-to-many
Potri.004G082100,P. trichocarpa,AT1G66080,A. thaliana,one-to-one
Potri.004G082200,P. trichocarpa,AT1G66070,A. thaliana,many-to-many
Potri.004G082200,P. trichocarpa,AT5G37475,A. thaliana,many-to-many
Potri.004G082300,P. trichocarpa,AT5G16550,A. thaliana,one-to-one
Potri.004G082400,P. trichocarpa,AT5G16560,A. thaliana,many-to-one
Potri.004G082800,P. trichocarpa,AT5G37510,A. thaliana,many-to-one
Potri.004G082900,P. trichocarpa,AT3G52640,A. thaliana,one-to-one
Potri.004G083200,P. trichocarpa,AT5G37530,A. thaliana,one-to-one
Potri.004G083300,P. trichocarpa,AT3G02850,A. thaliana,many-to-one
Potri.004G083900,P. trichocarpa,AT1G66160,A. thaliana,many-to-many
Potri.004G083900,P. trichocarpa,AT5G37490,A. thaliana,many-to-many
Potri.004G084000,P. trichocarpa,AT1G66150,A. thaliana,many-to-one
Potri.004G084100,P. trichocarpa,AT1G66140,A. thaliana,many-to-one
Potri.004G084200,P. trichocarpa,AT1G53940,A. thaliana,many-to-many
Potri.004G084200,P. trichocarpa,AT1G53990,A. thaliana,many-to-many
Potri.004G084200,P. trichocarpa,AT3G14225,A. thaliana,many-to-many
Potri.004G084200,P. trichocarpa,AT5G40990,A. thaliana,many-to-many
Potri.004G084300,P. trichocarpa,AT2G26560,A. thaliana,many-to-one
Potri.004G084700,P. trichocarpa,AT4G35540,A. thaliana,one-to-one
Potri.004G084800,P. trichocarpa,AT3G59990,A. thaliana,many-to-one
Potri.004G084900,P. trichocarpa,AT1G11050,A. thaliana,many-to-one
Potri.004G085000,P. trichocarpa,AT1G66180,A. thaliana,many-to-many
Potri.004G085000,P. trichocarpa,AT5G37540,A. thaliana,many-to-many
Potri.004G085100,P. trichocarpa,AT1G66190,A. thaliana,many-to-many
Potri.004G085100,P. trichocarpa,AT5G37550,A. thaliana,many-to-many
Potri.004G085200,P. trichocarpa,AT5G37590,A. thaliana,one-to-one
Potri.004G085300,P. trichocarpa,AT2G36620,A. thaliana,many-to-many
Potri.004G085300,P. trichocarpa,AT3G53020,A. thaliana,many-to-many
Potri.004G085500,P. trichocarpa,AT5G37630,A. thaliana,one-to-one
Potri.004G085700,P. trichocarpa,AT2G03820,A. thaliana,many-to-one
Potri.004G086000,P. trichocarpa,AT5G37660,A. thaliana,many-to-one
Potri.004G086200,P. trichocarpa,AT5G37680,A. thaliana,many-to-one
Potri.004G086300,P. trichocarpa,AT5G16600,A. thaliana,many-to-one
Potri.004G086400,P. trichocarpa,AT1G66250,A. thaliana,many-to-one
Potri.004G086500,P. trichocarpa,AT2G15050,A. thaliana,many-to-many
Potri.004G086500,P. trichocarpa,AT2G38530,A. thaliana,many-to-many
Potri.004G086500,P. trichocarpa,AT2G38540,A. thaliana,many-to-many
Potri.004G086500,P. trichocarpa,AT3G51600,A. thaliana,many-to-many
Potri.004G086600,P. trichocarpa,AT2G15050,A. thaliana,many-to-many
Potri.004G086600,P. trichocarpa,AT2G38530,A. thaliana,many-to-many
Potri.004G086600,P. trichocarpa,AT2G38540,A. thaliana,many-to-many
Potri.004G086600,P. trichocarpa,AT3G51600,A. thaliana,many-to-many
Potri.004G086900,P. trichocarpa,AT5G37710,A. thaliana,many-to-one
Potri.004G087000,P. trichocarpa,AT1G66260,A. thaliana,many-to-many
Potri.004G087000,P. trichocarpa,AT5G37720,A. thaliana,many-to-many
Potri.004G087100,P. trichocarpa,AT5G16620,A. thaliana,many-to-one
Potri.004G087300,P. trichocarpa,AT1G23890,A. thaliana,many-to-one
Potri.004G087400,P. trichocarpa,AT5G16630,A. thaliana,one-to-one
Potri.004G087600,P. trichocarpa,AT5G16720,A. thaliana,many-to-one
Potri.004G088200,P. trichocarpa,AT1G66480,A. thaliana,many-to-many
Potri.004G088200,P. trichocarpa,AT5G37840,A. thaliana,many-to-many
Potri.004G088500,P. trichocarpa,AT1G65850,A. thaliana,many-to-many
Potri.004G088500,P. trichocarpa,AT1G69550,A. thaliana,many-to-many
Potri.004G088500,P. trichocarpa,AT2G14080,A. thaliana,many-to-many
Potri.004G088500,P. trichocarpa,AT3G04220,A. thaliana,many-to-many
Potri.004G088500,P. trichocarpa,AT3G25510,A. thaliana,many-to-many
Potri.004G088500,P. trichocarpa,AT3G44480,A. thaliana,many-to-many
Potri.004G088500,P. trichocarpa,AT3G44670,A. thaliana,many-to-many
Potri.004G088500,P. trichocarpa,AT5G11250,A. thaliana,many-to-many
Potri.004G088500,P. trichocarpa,AT5G38340,A. thaliana,many-to-many
Potri.004G088500,P. trichocarpa,AT5G44510,A. thaliana,many-to-many
Potri.004G088800,P. trichocarpa,AT3G03440,A. thaliana,many-to-one
Potri.004G088900,P. trichocarpa,AT1G66470,A. thaliana,many-to-many
